city,country,HotelName,latitude,longitude,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,has_airport,is_short_trip,is_one_week,temp_avg_yearly,budget_level_encoded,HotelRating_encoded,rating_was_unknown,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_oceania,region_south_america
Milan,Italy,Worldhotel Cristoforo Colombo,45.4641943,9.1896346,5,2,2,1,4,5,3,5,2,1,1,1,14.75,3,4.0,0,False,False,True,False,False,False,False
Guanajuato,Mexico,Edelmira Hotel Boutique,20.9876996,-101.0,5,3,3,1,3,4,3,4,2,0,1,1,19.533333333333335,2,4.0,0,False,False,False,False,True,False,False
Surabaya,Indonesia,ibis budget Surabaya Airport,-7.2459717,112.7378266,4,3,3,2,3,4,3,4,2,1,1,0,28.758333333333336,1,3.0,0,False,True,False,False,False,False,False
Windhoek,Namibia,Klein Windhoek Guesthouse,-22.53356015,17.045477525861745,3,4,4,1,3,3,3,3,4,1,1,1,21.016666666666666,2,3.0,0,True,False,False,False,False,False,False
Kingston,Jamaica,The Liguanea Club,17.9712148,-76.7928128,4,3,3,3,4,4,3,3,2,1,1,1,28.400000000000002,2,3.0,0,False,False,False,False,True,False,False
Heidelberg,Germany,Leonardo Hotel Heidelberg,49.4093582,8.694724,5,2,4,1,3,4,3,3,4,0,1,0,11.816666666666668,2,3.0,1,False,False,True,False,False,False,False
Nagasaki,Japan,Yataro & Yataro Minamikan,33.1154683,129.7874339,4,2,3,2,3,4,3,3,3,1,1,0,17.666666666666668,2,3.0,0,False,True,False,False,False,False,False
Utrecht,Netherlands,Mercure Hotel Amersfoort Centre,52.0907006,5.1215634,4,2,3,1,4,4,3,4,3,0,1,0,11.174999999999999,2,4.0,0,False,False,True,False,False,False,False
Bagan,Myanmar,Bagan Thiripyitsaya Sanctuary Resort,21.1317111,94.8623644,5,3,4,1,1,3,2,2,4,0,1,1,26.425,1,3.0,0,False,True,False,False,False,False,False
Malmö,Sweden,Hotel Garden,55.6052931,13.0001566,4,3,3,3,3,4,3,4,2,0,1,0,9.924999999999999,2,3.0,0,False,False,True,False,False,False,False
Amsterdam,Netherlands,Sir Albert Hotel,52.3730796,4.8924534,5,3,3,2,5,4,3,5,2,1,1,1,11.391666666666666,2,4.0,0,False,False,True,False,False,False,False
Trondheim,Norway,Scandic Residence,63.4304475,10.3952118,4,3,4,2,3,3,3,3,4,1,1,1,7.859999999999999,3,1.0,0,False,False,True,False,False,False,False
Bruges,Belgium,B&B Riche Terre,51.2085526,3.226772,5,2,3,1,3,4,3,3,4,0,1,0,11.516666666666666,2,4.0,0,False,False,True,False,False,False,False
Reykjavik,Iceland,Reykjavik Lights by Keahotels,64.145981,-21.9422367,3,4,5,2,3,3,4,3,4,1,1,1,5.3,3,3.0,0,False,False,True,False,False,False,False
Seoul,South Korea,Lotte City Hotel Gimpo Airport,37.5666791,126.9782914,5,3,3,2,5,5,4,5,2,1,1,1,14.936363636363637,2,3.0,0,False,True,False,False,False,False,False
Kyoto,Japan,Hotel Avanshell Kyoto,35.0115754,135.7681441,5,2,4,1,2,5,3,3,4,0,1,1,16.916666666666668,3,3.0,0,False,True,False,False,False,False,False
Livingstone,Zambia,Sanctuary Sussi and Chuma,-17.853135,25.861429,3,5,5,2,2,3,3,2,4,1,1,1,23.166666666666668,2,4.0,0,True,False,False,False,False,False,False
Petra,Jordan,Petra Elite Hotel,30.3258363,35.4745669,5,4,4,1,1,3,2,1,4,0,1,1,19.925,2,5.0,0,False,False,False,True,False,False,False
Athens,Greece,Hotel Arta,37.9755648,23.7348324,5,3,3,3,4,5,3,4,2,1,1,1,19.383333333333333,2,1.0,0,False,False,True,False,False,False,False
Raja Ampat,Indonesia,Raja Ampat Dive Lodge,-0.7125553,130.30344727618905,2,4,5,5,1,3,3,1,5,0,0,1,27.224999999999998,3,3.0,0,False,True,False,False,False,False,False
Puebla,Mexico,Sacristía de Fray Juan,18.833333,-98.0,5,3,3,1,3,5,3,4,2,1,1,1,17.666666666666668,2,3.0,0,False,False,False,False,True,False,False
Bridgetown,Barbados,Sweetfield Manor Historic Inn and B&B,13.0977832,-59.6184184,3,3,4,5,4,4,4,3,2,1,1,1,27.325,2,4.0,0,False,False,False,False,True,False,False
Tirana,Albania,De Paris Hotel,41.3281482,19.8184435,3,3,3,2,3,3,3,3,2,1,1,0,16.525000000000002,1,4.0,0,False,False,True,False,False,False,False
Rio de Janeiro,Brazil,Pousada Cabore,-22.9110137,-43.2093727,4,4,5,5,5,4,3,4,2,1,1,1,24.233333333333334,2,3.0,0,False,False,False,False,False,False,True
Curitiba,Brazil,Terrazas Hotel,-25.4295963,-49.2712724,4,3,4,1,3,4,3,4,3,1,1,1,18.675,2,3.0,0,False,False,False,False,False,False,True
